professione_macro_old,professione_macro_new,professione_bio,professione_macro
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,Other,Ingegnere,Other
Cultural/knowledge professions,University professor,Docente universitario,University professor
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Other/unclear,Cultural knowledge profession,Uomo di corte,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,Other,Ingegnere,Other
Other/unclear,Cultural knowledge profession,Economista,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Other/unclear,Cultural knowledge profession,Uomo di corte,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Economic elites,State elite,Amministratore pubblico,State elite
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,Other,Medico,Other
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,Cultural knowledge profession,Scrittore,Cultural knowledge profession
Other/unclear,Cultural knowledge profession,Economista,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,Other,Ingegnere,Other
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,Cultural knowledge profession,Docente,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,Other,Medico,Other
Cultural/knowledge professions,University professor,Docente universitario,University professor
Other/unclear,Cultural knowledge profession,Geologo,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,Other,Ingegnere,Other
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,Cultural knowledge profession,Archeologo,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,Cultural knowledge profession,Docente,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Other/unclear,Cultural knowledge profession,Geologo,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Other/unclear,Cultural knowledge profession,Bibliotecario,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,Other,Medico,Other
Cultural/knowledge professions,University professor,Docente universitario,University professor
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,Other,Ingegnere,Other
Other/unclear,Other,Architetto,Other
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,University professor,Docente universitario,University professor
Cultural/knowledge professions,Cultural knowledge profession,Poeta,Cultural knowledge profession
Cultural/knowledge professions,University professor,Docente universitario,University professor
Other/unclear,Cultural knowledge profession,Critico d'arte,Cultural knowledge profession
Cultural/knowledge professions,Other,Medico,Other
Cultural/knowledge professions,University professor,Docente universitario,University professor
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,Other,Ingegnere,Other
Cultural/knowledge professions,Other,Medico,Other
Other/unclear,Cultural knowledge profession,Musicista,Cultural knowledge profession
Economic elites,Cultural knowledge profession,Industriale-agricoltore,Cultural knowledge profession
Cultural/knowledge professions,Other,Medico,Other
Cultural/knowledge professions,University professor,Docente universitario,University professor
