,1848–1859,1860–1882,1883–1913,1914–1924,1925–1946,row_total_sum_periods
cat_03,11,175,455,281,298,1220
cat_21,47,243,256,137,240,923
cat_14,25,55,101,61,134,376
cat_18,13,46,100,76,63,298
cat_05,16,73,52,47,56,244
cat_20,19,65,22,29,36,171
cat_17,5,24,41,16,26,112
cat_15,5,16,28,15,26,90
cat_16,2,13,47,26,18,106
cat_08,4,14,22,19,29,88
cat_09,4,16,30,14,23,87
cat_12,4,22,23,5,23,77
cat_04,10,13,4,1,5,33
cat_13,4,12,12,6,16,50
cat_06,1,1,12,12,25,51
cat_07,3,9,11,5,6,34
cat_19,1,4,14,13,10,42
cat_10,2,7,18,3,4,34
cat_01,4,5,1,0,0,10
cat_11,3,7,4,0,0,14
cat_02,1,8,6,2,5,22
cat_numbers_extracted,0,0,0,0,0,0
